"Country or Area","Year","Value"
"Norway","2005","4064.43097154528"
"Norway","2004","3995.029018062"
"Norway","2003","3850.85283459845"
"Norway","2002","3998.1856431401"
"Norway","2001","3756.143250349"
"Norway","2000","3827.60175980981"
"Norway","1999","4027.93728297726"
"Norway","1998","3814.53151466232"
"Norway","1997","3724.49776193551"
"Norway","1996","3734.00265053526"
"Norway","1995","3716.90499648053"
"Norway","1994","3689.03345971456"
"Norway","1993","3620.44719497818"
"Norway","1992","3420.67868360587"
"Norway","1991","3955.59643053549"
"Norway","1990","4112.28917124322"
"Poland","2018","22106.0058992586"
"Poland","2017","21970.0026011519"
"Poland","2016","20976.1624646847"
"Poland","2015","20317.5505473495"
"Poland","2014","21045.7770924981"
"Poland","2013","21495.3972747905"
"Poland","2012","21331.2024806545"
"Poland","2011","21244.4301472018"
"Poland","2010","20915.0090185905"
"Poland","2009","21338.1593335827"
"Poland","2008","24560.5878550058"
"Poland","2007","25007.2899798021"
"Poland","2006","24177.0755021097"
"Poland","2005","23737.7286536682"
"Poland","2004","23493.3957069635"
"Poland","2003","22858.7456295632"
"Poland","2002","23151.5552644518"
"Poland","2001","24590.5062724227"
"Poland","2000","24243.2773303429"
"Poland","1999","24042.0373489014"
"Poland","1998","24563.9915120717"
"Poland","1997","24664.2612077807"
"Poland","1996","24582.3132223586"
"Poland","1995","24613.8037430143"
"Poland","1994","23598.2020584106"
"Poland","1993","23593.3736828868"
"Poland","1992","22568.7649051689"
"Poland","1991","24281.8538750716"
"Poland","1990","28594.9666155718"
"Portugal","2018","3216.74142268116"
"Portugal","2017","3249.91640009137"
"Portugal","2016","3165.75428862175"
"Portugal","2015","3238.08353964894"
"Portugal","2014","3347.06478809518"
"Portugal","2013","3223.44226476848"
"Portugal","2012","3213.80424167697"
"Portugal","2011","3196.63790888368"
"Portugal","2010","3460.79349839542"
"Portugal","2009","3483.61204182584"
"Portugal","2008","3791.58830633212"
"Portugal","2007","3882.43432975875"
"Portugal","2006","3712.96272541196"
"Portugal","2005","3845.70899727736"
"Portugal","2004","4021.48265576087"
"Portugal","2003","3859.40779690878"
"Portugal","2002","4205.78672727321"
"Portugal","2001","4305.98605564902"
"Portugal","2000","4436.92258129997"
"Portugal","1999","4242.93970649755"
"Portugal","1998","4136.62579324739"
"Portugal","1997","4111.03846416555"
"Portugal","1996","4064.52294790439"
